serial_number,first_observation_date,last_observation_date,observed_days,is_failed,overall_max_probability,overall_mean_probability,failure_date,eligible_max_probability,eligible_mean_probability,eligible_observed_days,alerted_primary,alert_days_primary,first_alert_date_primary,alerted_high_recall,alert_days_high_recall,first_alert_date_high_recall,error_group,lead_time_days_primary,lead_time_days_high_recall,probability_gap_to_primary,failure_detection_tier,miss_pattern
92A0A06MFVKG,2023-10-04,2023-12-05,23,1,0.34716580956780807,0.34704748761178034,2023-12-05,0.34716580956780807,0.34704748761178034,23,False,0,,False,0,,false_negative,,,0.3528341904321919,missed_even_at_0.35,weak_signal_below_0.35
92J0A07XFVKG,2023-10-03,2023-12-11,24,1,0.3341195270929709,0.3341195270929709,2023-12-11,0.3341195270929709,0.3341195270929709,24,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,weak_signal_below_0.35
92M0A06GFVKG,2023-10-02,2023-11-06,11,1,0.3385182318271604,0.3385182318271604,2023-11-06,0.3385182318271604,0.3385182318271604,11,False,0,,False,0,,false_negative,,,0.36148176817283956,missed_even_at_0.35,weak_signal_below_0.35
AAG26PSH,2023-10-03,2023-12-02,21,1,0.3776154047199285,0.37392560474342684,2023-12-02,0.3776154047199285,0.37392560474342684,21,False,0,,True,21,2023-10-03,false_negative,,60.0,0.32238459528007146,detected_only_at_0.35,moderate_signal_0.35_to_0.60
AAG61VBH,2023-10-03,2023-10-19,6,1,0.33423620141275423,0.33423620141275423,2023-10-19,0.33423620141275423,0.33423620141275423,6,False,0,,False,0,,false_negative,,,0.3657637985872457,missed_even_at_0.35,short_history_under_7_days
AAG6GHPH,2023-10-07,2023-12-07,17,1,0.5973652385849929,0.39387787253252343,2023-12-07,0.5973652385849929,0.39387787253252343,17,False,0,,True,9,2023-11-10,false_negative,,27.0,0.10263476141500705,detected_only_at_0.35,moderate_signal_0.35_to_0.60
AAG6J3VH,2023-10-01,2023-11-30,16,1,0.5565828445941416,0.44714156722660975,2023-11-30,0.5565828445941416,0.44714156722660975,16,False,0,,True,16,2023-10-01,false_negative,,60.0,0.1434171554058583,detected_only_at_0.35,moderate_signal_0.35_to_0.60
AAG6NPYH,2023-10-05,2023-12-07,22,1,0.43883156729947964,0.39796516548082805,2023-12-07,0.43883156729947964,0.39796516548082805,22,False,0,,True,22,2023-10-05,false_negative,,63.0,0.2611684327005203,detected_only_at_0.35,moderate_signal_0.35_to_0.60
AAG6TG3H,2023-10-01,2023-10-01,1,1,0.3348234870593261,0.3348234870593261,2023-10-01,0.3348234870593261,0.3348234870593261,1,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,short_history_under_7_days
AAG6USGH,2023-10-05,2023-11-10,15,1,0.36441978252571866,0.35652743706801393,2023-11-10,0.36441978252571866,0.35652743706801393,15,False,0,,True,11,2023-10-16,false_negative,,25.0,0.3355802174742813,detected_only_at_0.35,moderate_signal_0.35_to_0.60
